Module	API / Project Item	Status	Auth	Local URL	Deployed URL	Method	Payload / Query	Notes
Other	Health Check	Implemented	Public	http://localhost:4500/	https://mobulous-tech.vercel.app/	GET	Not required	Returns app running status and environment.
Docs	Get API List Markdown	Implemented	Bearer access token	http://localhost:4500/api/api-list	https://mobulous-tech.vercel.app/api/api-list	GET	Authorization: Bearer <accessToken>	Returns apiList.md as markdown. Also available at /api-list without the /api prefix.
Assets	List Asset Categories with User Values	Implemented	Bearer access token	http://localhost:4500/api/assets?status=available&isActive=true	https://mobulous-tech.vercel.app/api/assets?status=available&isActive=true	GET	status: available|coming_soon|disabled; isActive: true|false	Returns asset categories plus the authenticated user's holding amounts and portfolio data. Also at /assets.
Assets	Get Asset Net Worth	Implemented	Bearer access token	http://localhost:4500/api/assets/net-worth	https://mobulous-tech.vercel.app/api/assets/net-worth	GET	Optional query: userId (admin may request another user)	Returns stock and mutual-fund net-worth breakdown. Also at /assets/net-worth.
Assets	Get Asset Category by ID	Implemented	Bearer access token	http://localhost:4500/api/assets/:id	https://mobulous-tech.vercel.app/api/assets/:id	GET	Path: id (MongoDB ObjectId)	Returns one asset category. Also at /assets/:id.
Auth	Create User / Signup	Implemented	Public	http://localhost:4500/api/create-user	https://mobulous-tech.vercel.app/api/create-user	POST	{"name":"John Doe","email":"john@example.com","password":"SecurePass123","phone":"+919876543210"}	name, email and password required; password minimum 8 chars; phone optional. Sends email OTP.
Auth	Verify Signup Email OTP	Implemented	Public	http://localhost:4500/api/verify-email-otp	https://mobulous-tech.vercel.app/api/verify-email-otp	POST	{"email":"john@example.com","otp":"123456"}	Verifies 6-digit OTP and marks email verified. Add ?redirect=true for login redirect.
Auth	Login with Email and Password	Implemented	Public	http://localhost:4500/api/login-user	https://mobulous-tech.vercel.app/api/login-user	POST	{"email":"john@example.com","password":"SecurePass123"}	Verified email/password account required. Returns sanitized user and access/refresh token pair.
Auth	Login with Google	Implemented	Public	http://localhost:4500/api/login-google	https://mobulous-tech.vercel.app/api/login-google	POST	{"idToken":"GOOGLE_ID_TOKEN"}	Requires GOOGLE_CLIENT_ID or GOOGLE_CLIENT_IDS. Creates or links the Google account and returns JWTs.
Auth	Get User Profile by ID	Implemented	Bearer access token	http://localhost:4500/api/users/:_id	https://mobulous-tech.vercel.app/api/users/:_id	GET	Path: _id (MongoDB ObjectId)	User may read only own profile; an admin may read any profile.
Auth	Update User Profile by ID	Implemented	Bearer access token	http://localhost:4500/api/users/:_id	https://mobulous-tech.vercel.app/api/users/:_id	PATCH	{"name":"John Updated","phone":"+919999999999","profilePicture":"https://example.com/profile.png"}	Only name, phone and profilePicture allowed. User may update own profile; admin may update any.
Auth	Refresh Access Token	Implemented	Public	http://localhost:4500/api/auth/refresh-token	https://mobulous-tech.vercel.app/api/auth/refresh-token	POST	{"refreshToken":"REFRESH_TOKEN"}	Verifies refresh token and its DB record, then returns a fresh access-token pair.
Auth	Revoke One Refresh Token	Implemented	Bearer access token	http://localhost:4500/api/auth/revoke-token	https://mobulous-tech.vercel.app/api/auth/revoke-token	POST	{"refreshToken":"REFRESH_TOKEN"}	Revokes one refresh token. Bearer token is required.
Auth	Logout Current Session	Implemented	Bearer access token	http://localhost:4500/api/auth/logout	https://mobulous-tech.vercel.app/api/auth/logout	POST	Optional body: {"refreshToken":"REFRESH_TOKEN"}	Clears auth cookies and revokes supplied matching refresh token.
Auth	Logout All Devices	Implemented	Bearer access token	http://localhost:4500/api/auth/logout-all	https://mobulous-tech.vercel.app/api/auth/logout-all	POST	Not required	Revokes all refresh tokens belonging to authenticated user.
Auth	Get Current Authenticated User	Implemented	Bearer access token	http://localhost:4500/api/auth/me	https://mobulous-tech.vercel.app/api/auth/me	GET	Not required	Returns JWT-decoded authenticated user payload.
Auth	Change Password	Implemented	Bearer access token	http://localhost:4500/api/auth/change-password	https://mobulous-tech.vercel.app/api/auth/change-password	POST	{"oldPassword":"SecurePass123","newPassword":"NewSecurePass456"}	Email/password accounts only; new password min 8 chars and must differ from old password.
Auth	Send Password-Reset OTP	Implemented	Public	http://localhost:4500/api/forgot-password	https://mobulous-tech.vercel.app/api/forgot-password	POST	{"email":"john@example.com"}	Sends reset OTP to existing user.
Auth	Verify Password-Reset OTP	Implemented	Public	http://localhost:4500/api/verify-otp	https://mobulous-tech.vercel.app/api/verify-otp	POST	{"email":"john@example.com","otp":"123456"}	Validates stored, unexpired 6-digit reset OTP.
